,jngIfrmpRgsno,brno,crno,corpNm,brandNm,jnghdqrtrsRprsvNm,indutyLclasNm,indutyMlsfcNm,jngBizStrtDate,jngIfrmpRgsDt,yr,ifrmpRlsDocRgsDate,ifrmpRlsDocExstYn
7914,20230920,7790102120,,찾아가는출장세차맨,찾아가는 출장 세차맨,이용성,서비스,자동차 관련,,1687705200000,2023,,N
7915,20230921,3940501476,,마또이따,마또이따,이상원,외식,서양식,,1687705200000,2023,,N
7916,20230922,2208878982,1101115401966,(주)폭스아트이노베이션,귀큰여우창작소,안우정,서비스,기타 교육,20140526,1687705200000,2023,,N
7917,20230923,2930900755,,신묘한컴퍼니,신묘한곱도리식당,박강덕,외식,한식,,1693383391000,2023,,N
7918,20230924,3453200961,,고기듬뿍국물두루치기,고기듬뿍국물두루치기,서재옥,외식,한식,,1687791600000,2023,,N
7919,20230925,8042201102,,정우도누(물금점),정우도누,박준영,외식,한식,20230428,1687791600000,2023,,N
7920,20230926,8871101789,,다이츠컴퍼니,루크커피브루어스(LEWK COFFEE BREWERS),김동명,외식,커피,,1687791600000,2023,,N
7921,20230927,2064162645,,육해왕,육해왕,신현우,외식,한식,,1687791600000,2023,,N
7922,20230928,4934500580,,계족돼지,올에어,배상진,외식,기타 외식,,1687791600000,2023,,N
7923,20230929,8172801250,,버터북,버터북(Butter Book),심나린,외식,제과제빵,,1687791600000,2023,,N
7924,20230930,6972000739,,함께냥오산본점,함께냥,이호근,서비스,반려동물 관련,,1687705200000,2023,,N
7925,20230931,1353082964,,만두명가,안선생만두명가,안승휘,외식,분식,,1687705200000,2023,,N
7926,20230932,6228128433,1348110627276,(주)1945짬뽕,1945짬뽕 ,전재홍,외식,중식,,1687791600000,2023,,N
7927,20230933,2042742574,,망우찜쌈밥1호점,망우찜쌈밥,장국진,외식,한식,,1687791600000,2023,,N
7928,20230934,1708802590,1101118437603,(주)올에프앤비,트로피티아일랜드,"김정균, 민준오",외식,음료 (커피 외),,1687878000000,2023,,N
7929,20230935,2648600568,1101116239027,(주)르뱅코리아,밀키(milky),이진환,외식,아이스크림/빙수 ,20220114,1687791600000,2023,,N
7930,20230936,1754300811,,계모임,계모임,신영민,외식,한식,,1687878000000,2023,,N
7931,20230937,8802901482,,덮배,덮배,배윤호,외식,한식,,1687791600000,2023,,N
7932,20230938,3828701372,1101117355244,(주)차차프렌즈,피아리노,차영은,서비스,기타 교육,,1688015446000,2023,,N
7933,20230939,4435100534,,오빠화이팅,오빠화이팅,인지혜,외식,주점,,1687878000000,2023,,N
7934,20230940,2594700043,,제이에스키친,이태리클라쓰,이진영,외식,서양식,,1687878000000,2023,,N
7935,20230941,1379171839,,K-디베이트코칭학원,K-디베이트코칭학원 & K-리딩,박숙현,서비스,교육 (교과),,1687878000000,2023,,N
7936,20230942,1408802283,1615110304257,(주)울타리푸드솔루션,천호정,박찬일,외식,치킨,,1687878000000,2023,,N
7937,20230943,5360902228,,오창조개구이무한리필,조개정석,"정소연, 신정후",외식,한식,,1687878000000,2023,,N
7938,20230944,4996400269,,츠키젠,츠키젠(TSUKIZEN) ,박상욱,외식,일식,,1687878000000,2023,,N
7939,20230945,5801600832,,연탄집,상록회관 연탄구이 전문점,임동혁,외식,한식,,1687878000000,2023,,N
7940,20230946,1298167558,1311110106516,(주)교원위즈,와이어트 인스티튜트,"정조앤, 윤성훈",서비스,교육 (외국어),,1688617524000,2023,,N
7941,20230947,3950802066,,리본레시피,리본레시피(Reborn Recipe),조한익,외식,기타 외식,,1687964400000,2023,,N
7942,20230948,8551301016,,바시필라테스코리아(BasipilatesKorea),바시필라테스,차주한,서비스,스포츠 관련,,1687964400000,2023,,N
7943,20230949,1020556805,,밥한끼아산배방점,맛짱푸드,이훈희,외식,한식,,1688050800000,2023,,N
7944,20230950,4321102235,,로타(ROTA),로타(ROTA),이승찬,도소매,의류 / 패션,,1688050800000,2023,,N
7945,20230951,8211002011,,딜콤한아재,달콤한아재무인샵,정지안,도소매,기타도소매,,1688050800000,2023,,N
7946,20230952,6034204519,,꼬김F&C,꼬김빱,신학림,외식,한식,,1688050800000,2023,,N
7947,20230953,2042730118,,동네술집,동네술집,원상기,외식,한식,20160509,1688050800000,2023,,N
7948,20230954,1166800251,,스탠다드스퀘어,스탠다드 스퀘어,이재연,외식,커피,,1688050800000,2023,,N
7949,20230955,2588101849,1341110550364,(주)민컴퍼니,오만봉떡,민인기,외식,분식,,1688310000000,2023,,N
7950,20230956,6040712194,,동방중국슈퍼,동방중국슈퍼,임해연,도소매,종합소매점,,1688310000000,2023,,N
7951,20230957,8152101124,,헬스고(GO)피트니스,헬스고 피트니스,김현찬,서비스,스포츠 관련,20230801,1688310000000,2023,,N
7952,20230958,7269400149,,어썸음악학원,어썸음악학원,조두연,서비스,기타 교육,20210901,1688310000000,2023,,N
7953,20230959,8982801318,,카레후카미&수제카츠,카레후카미&수제카츠,박현석,외식,일식,,1688310000000,2023,,N
7954,20230960,6980102364,,오시(oshi),오시(oshi),한태연,외식,일식,,1688310000000,2023,,N
7955,20230961,5452501067,,내손안의맛집,면을품은닭,김하진,외식,한식,,1688396400000,2023,,N
7956,20230962,7824500888,,면식당충북대점,면식당,최종훈,외식,일식,,1688396400000,2023,,N
7957,20230963,7068800839,1357110123184,㈜커먼스,킹떡,홍준,외식,분식,,1688396400000,2023,,N
7958,20230964,7068800839,1357110123184,㈜커먼스,웅떡,홍준표,외식,분식,,1688396400000,2023,,N
7959,20230965,4680201757,,다로갈비엑스포점,다로갈비,김재학,외식,한식,,1688396400000,2023,,N
7960,20230966,2031163916,,그집,마이게 김치찜&김치찌개다,전지용,외식,한식,,1688396400000,2023,,N
7961,20230967,6010962874,,우아당,우아당,"권준희, 김혜림",외식,한식,,1688310000000,2023,,N
7962,20230968,3830902338,,영자's곱창,영자's곱창,강영자,외식,한식,,1688482800000,2023,,N
7963,20230969,6419501558,,라곰플루트스튜디오,라곰 플루트 스튜디오,이규진,서비스,기타 교육,,1689295807000,2023,,N
7964,20230970,5878101373,1101117085312,(주)제이나인에프지,오엑스코인,김연경,서비스,기타 서비스,20191128,1688482800000,2023,,N
7965,20230971,3498102033,1601110592182,(주)더킹에프엔씨,화평댁닭구이,오세훈,외식,치킨,,1688482800000,2023,,N
7966,20230972,2021309776,,심돈,심돈,심우권,외식,한식,,1688482800000,2023,,N
7967,20230973,1320940224,,옛고을순두부,속초 옛고을 순두부,김정숙 외 1명,외식,한식,,1688482800000,2023,,N
7968,20230974,7620401522,,치킨ZIP,치킨ZIP,박민지,외식,치킨,,1688482800000,2023,,N
7969,20230975,8420502315,,본앤미트,낙곱상회 ,김준기,외식,한식,,1688482800000,2023,,N
7970,20230976,4567100372,,크러그영도점,크러그(CRUG),류우람,외식,커피,,1688482800000,2023,,N
7971,20230977,4808100433,1801111039949,(주)유동커피,유동 에스프레소바(Take-Out) ,박기남,외식,커피,,1688569200000,2023,,N
7972,20230978,1212921720,,샌치,샌치한데이,박지연,외식,기타 외식,20220928,1688569200000,2023,,N
7973,20230979,2830802308,,바니거니,바니거니,추반호,서비스,기타 서비스,,1688569200000,2023,,N
7974,20230980,1148662046,1101113755498,(주)오피스넥스,캔디비(CANDYBEE),"선장덕, 조성우",도소매,기타도소매,,1688482800000,2023,,N
7975,20230981,8060501834,,너도나도,너도나도식당,정진범,외식,한식,,1688482800000,2023,,N
7976,20230982,6365200623,,피비씨(PBC)컴퍼니,902탭하우스,문강빈,외식,주점,,1688482800000,2023,,N
7977,20230983,1920502336,,용선생짬뽕,용선생짬뽕 ,엄승빈,외식,중식,,1688655600000,2023,,N
7978,20230984,4534300346,,신라방유통,향리원 플러스,이나,외식,중식,,1688655600000,2023,,N
7979,20230985,8035300609,,모담,모담숯불김,이은혜,도소매,기타도소매,20220922,1688655600000,2023,,N
7980,20230986,3268700029,2849110130705,(주)찰스푸드,키토분식,문은희,외식,분식,20220801,1688655600000,2023,,N
7981,20230987,1361210213,,화미소cake수제떡공방,화미소 케이크,이지영,외식,제과제빵,,1688914800000,2023,,N
7982,20230988,2161599626,NaN,필살기,필살기 프리미엄 돈가츠,김현진,외식,일식,,1688655600000,2023,,N
7983,20230989,7638601953,1101117513834,(주)건양물산,건어무리,오동현,외식,기타 외식,,1688914800000,2023,,N
7984,20230990,1058797233,1101115304368,주식회사퍼블리크,퍼블리크,이준혁,외식,제과제빵,,1688914800000,2023,,N
7985,20230991,1108149935,1101112169096,(주)나인아이디,바팩,노병문,외식,한식,,1688914800000,2023,,N
7986,20230992,4204400101,,마니산산채,마니산산채,박차돌,외식,한식,,1688655600000,2023,,N
7987,20230993,8060401045,,고메스퀘어영통점,고메스퀘어,장경훈,외식,일식,,1689237699000,2023,,N
7988,20230994,4101588814,,광주숲속의아침,숲속의 아침,유정수,서비스,기타 서비스,,1689001200000,2023,,N
7989,20230995,4081741668,,글라스온안경,글라스온안경,권세열    ,서비스,안경,20220801,1689001200000,2023,,N
7990,20230996,7980401991,,구구포차,구구포차,윤철진,외식,한식,,1689001200000,2023,,N
7991,20230997,5405500250,,카페점보,카페점보캔,박영미,외식,커피,20230113,1689001200000,2023,,N
7992,20230998,4434100966,,닭발공작소,닭발공작소,권재연,외식,치킨,,1689001200000,2023,,N
7993,20230999,4311202258,,마성소국밥앤족발둔산시청본점,마성소국밥,성오현,외식,한식,,1689001200000,2023,,N
7994,20231000,6381801357,,팀스마트(TEAMSMART),팀 스마트,조재원,서비스,스포츠 관련,,1689001200000,2023,,N
7995,20231001,6968602201,1949110059722,(주)힐리스쿨,애드힐컬리지잇,박혜란,서비스,교육 (외국어),,1689001200000,2023,,N
7996,20231002,7930200635,,광교PT20LINE에듀하임점,20LINE,정대식,서비스,스포츠 관련,,1689001200000,2023,,N
7997,20231003,4478602399,1355110387867,(주)밀화당,밀화당,조민재,외식,커피,20211105,1689001200000,2023,,N
7998,20231004,4930702058,,경동집국물두루치기,경동집국물두루치기,엄다현,외식,한식,,1689001200000,2023,,N
7999,20231005,3520402872,,천하파트너스,마라천하마라탕,이승권(LI SHENGQUAN),외식,중식,20190701,1689001200000,2023,,N
8000,20231006,2430402132,,클라안(CLAAN),클라안(CLAAN),이창희,서비스,이미용,,1689001200000,2023,,N
8001,20231007,4171306672,,맛쿵,맛쿵 감자탕,문정숙,외식,한식,,1689001200000,2023,,N
8002,20231008,2066571140,,예인Competition,예술인재음악콩쿠르(YEIN COMPETITION),주현규,서비스,기타 서비스,,1689001200000,2023,,N
8003,20231009,7223500683,,루이파트너스,카페온나,이정우,외식,커피,,1688914800000,2023,,N
8004,20231010,8883800397,,푸나왈라,푸나왈라(poonawala),허문향,외식,기타 외국식,,1689087600000,2023,,N
8005,20231011,6821600860,,우미남,산성식육점,이재형,외식,한식,20220926,1689087600000,2023,,N
8006,20231012,2873600417,,에이플룸,에이플룸(AFLROOM),김혜애,서비스,이미용,20230512,1689087600000,2023,,N
